Individual	FamilyId	TrioState	Sex	Population code	Population name	Superpopulation code	Superpopulation name	AltIDs
HG01243	PR22	child	male	PUR	Puerto Rican	AMR	American Ancestry	
HG01258	CLM16	child	male	CLM	Colombian	AMR	American Ancestry	
HG01358	CLM31	child	male	CLM	Colombian	AMR	American Ancestry	
HG01361	CLM32	child	female	CLM	Colombian	AMR	American Ancestry	
HG01891	BB05	child	female	ACB	African Caribbean	AFR	African Ancestry	
HG01928	PEL011	child	male	PEL	Peruvian	AMR	American Ancestry	
HG01952	PEL019	child	male	PEL	Peruvian	AMR	American Ancestry	
HG01978	PEL26	child	female	PEL	Peruvian	AMR	American Ancestry	
HG02055	BB15	child	male	ACB	African Caribbean	AFR	African Ancestry	
HG02080	VN068	child	female	KHV	Kinh Vietnamese	EAS	East Asian Ancestry	
HG02145	BB20	child	male	ACB	African Caribbean	AFR	African Ancestry	
HG02148	PEL39	child	female	PEL	Peruvian	AMR	American Ancestry	
HG02257	BB21	child	female	ACB	African Caribbean	AFR	African Ancestry	
HG02486	BB55	child	male	ACB	African Caribbean	AFR	African Ancestry	
HG02559	BB68	child	female	ACB	African Caribbean	AFR	African Ancestry	
HG02572	GB21	child	male	GWD	Gambian Mandinka	AFR	African Ancestry	
HG02622	GB31	child	female	GWD	Gambian Mandinka	AFR	African Ancestry	
HG02630	GB33	child	female	GWD	Gambian Mandinka	AFR	African Ancestry	
HG02717	GB50	child	male	GWD	Gambian Mandinka	AFR	African Ancestry	
HG02723	GB52	child	female	GWD	Gambian Mandinka	AFR	African Ancestry	
HG02818	GB66	child	female	GWD	Gambian Mandinka	AFR	African Ancestry	
HG02886	GB89	child	female	GWD	Gambian Mandinka	AFR	African Ancestry	
HG03098	SL16	child	male	MSL	Mende	AFR	African Ancestry	
HG03453	SL50	child	female	MSL	Mende	AFR	African Ancestry	
HG03486	SL61	child	female	MSL	Mende	AFR	African Ancestry	
HG03492	PK43	child	male	PJL	Punjabi	SAS	South Asian Ancestry	
HG03516	NG107	child	female	ESN	Esan	AFR	African Ancestry	
HG03540	GB125	child	female	GWD	Gambian Mandinka	AFR	African Ancestry	
HG03579	SL72	child	male	MSL	Mende	AFR	African Ancestry	
NA18906	Y020	child	female	YRI	Yoruba	AFR	African Ancestry	
NA20129	2433	child	female	ASW	African Ancestry SW	AFR	African Ancestry	
HG02109	BB18	child	female	ACB	African Caribbean	AFR	African Ancestry	
HG005	3150	child	male	CHB	Han Chinese	EAS	East Asian Ancestry	NA24631
HG002	RM8392	child	male	ASH	Ashkenazi	EUR	European Ancestry	NA24385,GM24385,huAA53E0
NA21309	2565	child	female	MKK	Maasai in Kinyawa	AFR	African Ancestry	
